CUSTOMER;PRODOTTO;YW;START_DATE;END_DATE;PriceUnits;PriceVolume;Units;Volume;Value;WD
Customer A;BABY DRY DUO DWCT;2018-05;43129;43135;11,9;56;136;28,9;1618,4;9
Customer A;BABY DRY DUO DWCT;2018-06;43136;43142;9,086015831;46,53786944;8717;1701,9;79202,8;93
Customer A;BABY DRY DUO DWCT;2018-07;43143;43149;9,118636912;46,978016;13264;2574,6;120949,6;99
Customer A;BABY DRY DUO DWCT;2018-08;43150;43156;9,191365672;47,43974422;10493;2033;96445;98
Customer A;BABY DRY DUO DWCT;2018-09;43157;43163;10,45001419;53,78436815;3523;684,5;36815,4;94
Customer A;BABY DRY DUO DWCT;2018-10;43164;43170;9,729192825;50,29230413;4460;862,8;43392,2;95
Customer A;BABY DRY DUO DWCT;2018-11;43171;43177;9,712016776;50,57996201;5484;1053;53260,7;97
Customer A;BABY DRY DUO DWCT;2018-12;43178;43184;9,732072588;50,60329758;5235;1006,8;50947,4;97
Customer A;BABY DRY DUO DWCT;2018-13;43185;43191;10,21391766;53,144555;3765;723,6;38455,4;95
Customer A;BABY DRY DUO DWCT;2018-14;43192;43198;9,148635047;47,47544616;13114;2527,1;119975,2;100
Customer A;BABY DRY DUO DWCT;2018-15;43199;43205;9,095593036;47,08879656;14704;2840,2;133741,6;100
Customer A;BABY DRY DUO DWCT;2018-16;43206;43212;9,152549356;47,32256347;11650;2253,2;106627,2;100
Customer A;BABY DRY DUO DWCT;2018-17;43213;43219;11,22724495;58,28029286;4254;819,5;47760,7;97
Customer A;BABY DRY DUO DWCT;2018-18;43220;43226;11,88011594;61,578125;3450;665,6;40986,4;94
Customer A;BABY DRY DUO DWCT;2018-19;43227;43233;9,181266158;47,44711288;15859;3068,8;145605,7;100
Customer A;BABY DRY DUO DWCT;2018-20;43234;43240;9,143816673;47,37176076;12655;2442,7;115715;100
Customer A;BABY DRY DUO DWCT;2018-21;43241;43247;9,16740682;47,44010761;11349;2193,1;104040,9;99
Customer A;BABY DRY DUO DWCT;2018-22;43248;43254;11,2608021;58,51513247;4962;954,9;55876,1;97
Customer A;BABY DRY DUO DWCT;2018-23;43255;43261;10,5602657;54,69495413;7452;1438,8;78695,1;99
Customer A;BABY DRY DUO DWCT;2018-24;43262;43268;9,251107887;47,56511715;15164;2949,3;140283,8;100
Customer A;BABY DRY DUO DWCT;2018-25;43269;43275;9,186955153;46,92986616;12710;2488,1;116766,2;100
Customer A;BABY DRY DUO DWCT;2018-26;43276;43282;9,207873558;46,93130375;10313;2023,4;94960,8;100
Customer A;BABY DRY DUO DWCT;2018-27;43283;43289;10,53677215;53,57680755;4740;932,2;49944,3;97
Customer A;BABY DRY DUO DWCT;2018-28;43290;43296;10,61093784;54,02591531;4617;906,8;48990,7;98
Customer A;BABY DRY DUO DWCT;2018-29;43297;43303;9,739306649;49,37040496;5971;1177,9;58153,4;98
Customer A;BABY DRY DUO DWCT;2018-30;43304;43310;8,899969549;44,80912715;9852;1956,8;87682,5;99
Customer A;BABY DRY DUO DWCT;2018-31;43311;43317;8,901115242;44,53567805;8877;1774,2;79015,2;99
Customer A;BABY DRY DUO DWCT;2018-32;43318;43324;10,8021838;53,1484853;3297;670,1;35614,8;93
Customer A;BABY DRY DUO DWCT;2018-33;43325;43331;11,89497738;57,80101143;2210;454,8;26287,9;85
Customer A;BABY DRY DUO DWCT;2018-34;43332;43338;11,89444191;58,25145025;2195;448,2;26108,3;86
Customer A;BABY DRY DUO DWCT;2018-35;43339;43345;11,87174041;58,44496079;1695;344,3;20122,6;80
Customer A;BABY DRY DUO DWCT;2018-36;43346;43352;11,88697572;59,40209597;1812;362,6;21539,2;85
Customer A;BABY DRY DUO DWCT;2018-37;43353;43359;11,89608035;59,50955882;2041;408;24279,9;88
Customer A;BABY DRY DUO DWCT;2018-38;43360;43366;11,8908223;60,07390696;3247;642,7;38609,5;94
Customer A;BABY DRY DUO DWCT;2018-39;43367;43373;11,88896284;60,17066667;3606;712,5;42871,6;95
Customer A;BABY DRY DUO DWCT;2018-40;43374;43380;10,61558442;53,48937884;5005;993,3;53131;97
Customer A;BABY DRY DUO DWCT;2018-41;43381;43387;9,203920863;46,39720749;11120;2205,9;102347,6;99
Customer A;BABY DRY DUO DWCT;2018-42;43388;43394;9,168713547;45,97765024;9087;1812,1;83316,1;99
